,Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
0,Volkswagen,vento,2012,2.5 Luxury 170cv,99950,360000,4.0,sedan,Córdoba
1,Ford,ranger,2012,2.3 Cd Xl Plus 4x2,140000,320000,2.0,pick_up,Entre Ríos
2,Volkswagen,fox,2011,1.6 Trendline,132000,209980,5.0,hatchback,Bs.as. G.b.a. Sur
3,Ford,ranger,2017,3.2 Cd Xls Tdci 200cv Automática,13000,798000,4.0,pick_up,Neuquén
4,Volkswagen,gol,2013,1.4 Power 83cv 3 p,107000,146000,3.0,hatchback,Córdoba
5,Volkswagen,amarok,2014,2.0 Cd Tdi 180cv 4x4 Highline C34,115000,790000,4.0,pick_up,Buenos Aires Interior
6,Ford,ka,2012,1.0 Fly Viral 63cv,95243,142000,3.0,hatchback,Bs.as. G.b.a. Sur
7,Ford,ka,2012,1.6 Fly Viral 95cv,110000,148000,3.0,hatchback,Buenos Aires Interior
8,Ford,focus_iii,2017,1.6 S,17500,367000,5.0,hatchback,Buenos Aires Interior
9,Ford,fiesta_kinetic_design,2014,1.6 Sedan Titanium Powershift 120cv,43000,287000,4.0,sedan,Bs.as. G.b.a. Norte
10,Volkswagen,amarok,2014,2.0 Cd Tdi 4x4 Highline Pack At C34,79900,685000,4.0,pick_up,Bs.as. G.b.a. Norte
11,Ford,focus_ii,2012,1.6 Style Sigma,99000,219000,5.0,hatchback,Capital Federal
12,Ford,focus_iii,2014,2.0 Sedan Se Plus Mt,45000,300000,4.0,sedan,Capital Federal
13,Volkswagen,gol_trend,2013,1.6 Pack I 101cv,62000,190000,5.0,hatchback,Bs.as. G.b.a. Oeste
14,Volkswagen,amarok,2012,2.0 Cd Tdi 4x2 Highline Pack 2,117000,565000,4.0,pick_up,Buenos Aires Interior
15,Ford,focus_iii,2015,2.0 Se Plus Mt,55300,470000,5.0,hatchback,Bs.as. G.b.a. Oeste
16,Volkswagen,amarok,2011,2.0 Cd Tdi 163cv 4x2 Trendline 1t2,100000,450000,4.0,pick_up,Buenos Aires Interior
17,Volkswagen,gol,2011,1.4 Power Ps+ac 83cv,115000,150000,5.0,hatchback,Bs.as. G.b.a. Norte
18,Ford,ecosport,2012,1.6 My10 Xl Plus Mp3 4x2,110000,215000,5.0,suv,Bs.as. G.b.a. Oeste
19,Volkswagen,up!,2015,1.0 Take Up! Aa 75cv,38000,220000,3.0,hatchback,Bs.as. G.b.a. Sur
20,Volkswagen,bora,2011,1.8 Highline T Tiptronic Cuero,85000,225000,4.0,sedan,Tierra Del Fuego
21,Ford,fiesta_kinetic_design,2014,1.6 Titanium 120cv,51000,355000,5.0,hatchback,Capital Federal
22,Volkswagen,gol_trend,2015,1.6 Trendline 101cv 3p,19000,215000,3.0,hatchback,Bs.as. G.b.a. Oeste
23,Volkswagen,fox,2012,1.6 Highline,55000,220000,5.0,hatchback,Santa Fe
24,Mercedes Benz,sprinter,2015,2.1 415 3665 Te Mixto 4+1 Silver,45000,999999,2.0,furgon,Capital Federal
25,Volkswagen,fox,2011,1.6 Highline,79800,215000,5.0,hatchback,Capital Federal
26,Honda,civic,2011,1.8 Exs At,120000,295000,4.0,sedan,Buenos Aires Interior
27,Volkswagen,saveiro,2014,1.6 Cs 101cv,90000,240000,2.0,pick_up,Buenos Aires Interior
28,Volkswagen,gol_trend,2013,1.6 Pack I 101cv,99600,208000,5.0,hatchback,Bs.as. G.b.a. Norte
29,Volkswagen,saveiro,2017,1.6 Gp Ce 101cv Safety + Pack High,20000,370000,2.0,pick_up,Córdoba
30,Volkswagen,gol,2012,1.4 Power Ps+ac 83cv,94000,165000,5.0,hatchback,Bs.as. G.b.a. Oeste
31,Volkswagen,amarok,2013,2.0 Cs Tdi 140cv 4x2 Startline,108264,480000,2.0,pick_up,Mendoza
32,Volkswagen,gol_trend,2013,1.6 Pack Ii 101cv,108000,220000,5.0,hatchback,Bs.as. G.b.a. Sur
33,Volkswagen,amarok,2012,2.0 Cd Tdi 180cv 4x2 Trendline B33,176000,459000,4.0,pick_up,Bs.as. G.b.a. Norte
34,Volkswagen,vento,2013,2.0 Sportline Tsi 200cv,68200,530000,4.0,sedan,Bs.as. G.b.a. Sur
35,Ford,focus_iii,2016,2.0 Sedan Se Plus Mt,15022,550000,4.0,sedan,Bs.as. G.b.a. Sur
36,Volkswagen,voyage,2013,1.6 101cv,56000,240000,4.0,sedan,Bs.as. G.b.a. Sur
37,Ford,fiesta,2012,1.6 Max One Ambiente Plus 98cv,77000,230000,4.0,sedan,Bs.as. G.b.a. Sur
38,Mercedes Benz,clase_glk,2012,3.0 Glk300 4matic Sport 231cv At,98000,719990,5.0,suv,Capital Federal
